Year,Value,Units,Series
2010,2.09,Kilograms (kg),"Electronic waste recycled, per capita (Kg)"
2011,4.61,Kilograms (kg),"Electronic waste recycled, per capita (Kg)"
2012,2.57,Kilograms (kg),"Electronic waste recycled, per capita (Kg)"
2013,3.9,Kilograms (kg),"Electronic waste recycled, per capita (Kg)"
2014,4.12,Kilograms (kg),"Electronic waste recycled, per capita (Kg)"
2015,2.9,Kilograms (kg),"Electronic waste recycled, per capita (Kg)"
2016,5.55,Kilograms (kg),"Electronic waste recycled, per capita (Kg)"
2017,4.55,Kilograms (kg),"Electronic waste recycled, per capita (Kg)"
2018,4.82,Kilograms (kg),"Electronic waste recycled, per capita (Kg)"
2010,56.4,Percentage (%),Proportion of electronic waste recycled (%)
2011,122.8,Percentage (%),Proportion of electronic waste recycled (%)
2012,71.7,Percentage (%),Proportion of electronic waste recycled (%)
2013,97.5,Percentage (%),Proportion of electronic waste recycled (%)
2014,107.1,Percentage (%),Proportion of electronic waste recycled (%)
2015,65.1,Percentage (%),Proportion of electronic waste recycled (%)
2016,103.4,Percentage (%),Proportion of electronic waste recycled (%)
2017,72.1,Percentage (%),Proportion of electronic waste recycled (%)
2010,865.0,Tonnes,Electronic waste recycled (Tonnes)
2011,1921.0,Tonnes,Electronic waste recycled (Tonnes)
2012,1080.0,Tonnes,Electronic waste recycled (Tonnes)
2013,1661.0,Tonnes,Electronic waste recycled (Tonnes)
2014,1791.0,Tonnes,Electronic waste recycled (Tonnes)
2015,1292.0,Tonnes,Electronic waste recycled (Tonnes)
2016,2527.0,Tonnes,Electronic waste recycled (Tonnes)
2017,2128.0,Tonnes,Electronic waste recycled (Tonnes)
2018,2336.0,Tonnes,Electronic waste recycled (Tonnes)
2010,8.9,Percentage (%),Proportion of municipal waste recycled (%)
2011,15.4,Percentage (%),Proportion of municipal waste recycled (%)
2012,14.8,Percentage (%),Proportion of municipal waste recycled (%)
2013,12.5,Percentage (%),Proportion of municipal waste recycled (%)
2014,11.7,Percentage (%),Proportion of municipal waste recycled (%)
2015,10.9,Percentage (%),Proportion of municipal waste recycled (%)
2016,12.7,Percentage (%),Proportion of municipal waste recycled (%)
2017,11.5,Percentage (%),Proportion of municipal waste recycled (%)
2018,10.5,Percentage (%),Proportion of municipal waste recycled (%)
2019,9.1,Percentage (%),Proportion of municipal waste recycled (%)
2020,10.9,Percentage (%),Proportion of municipal waste recycled (%)
2021,13.6,Percentage (%),Proportion of municipal waste recycled (%)
2022,12.2,Percentage (%),Proportion of municipal waste recycled (%)
2010,23000.0,Tonnes,Municipal waste recycled (Tonnes)
2011,40000.0,Tonnes,Municipal waste recycled (Tonnes)
2012,38000.0,Tonnes,Municipal waste recycled (Tonnes)
2013,32000.0,Tonnes,Municipal waste recycled (Tonnes)
2014,32000.0,Tonnes,Municipal waste recycled (Tonnes)
2015,31000.0,Tonnes,Municipal waste recycled (Tonnes)
2016,37000.0,Tonnes,Municipal waste recycled (Tonnes)
2017,36000.0,Tonnes,Municipal waste recycled (Tonnes)
2018,34000.0,Tonnes,Municipal waste recycled (Tonnes)
2019,32000.0,Tonnes,Municipal waste recycled (Tonnes)
2020,36000.0,Tonnes,Municipal waste recycled (Tonnes)
2021,43000.0,Tonnes,Municipal waste recycled (Tonnes)
2022,40000.0,Tonnes,Municipal waste recycled (Tonnes)
