Year,Sex,Education Level,Value
2010,Total,Primary,100
2010,Total,Lower Secondary,100
2010,Total,Upper Secondary,62
2010,Female,Primary,100
2010,Female,Lower Secondary,100
2010,Female,Upper Secondary,68
2010,Male,Primary,100
2010,Male,Lower Secondary,100
2010,Male,Upper Secondary,56
2011,Total,Primary,100
2011,Total,Lower Secondary,100
2011,Total,Upper Secondary,64
2011,Female,Primary,100
2011,Female,Lower Secondary,100
2011,Female,Upper Secondary,70
2011,Male,Primary,100
2011,Male,Lower Secondary,100
2011,Male,Upper Secondary,57
2012,Total,Primary,100
2012,Total,Lower Secondary,100
2012,Total,Upper Secondary,66
2012,Female,Primary,100
2012,Female,Lower Secondary,100
2012,Female,Upper Secondary,72
2012,Male,Primary,100
2012,Male,Lower Secondary,100
2012,Male,Upper Secondary,59
2013,Total,Primary,100
2013,Total,Lower Secondary,100
2013,Total,Upper Secondary,68
2013,Female,Primary,100
2013,Female,Lower Secondary,100
2013,Female,Upper Secondary,74
2013,Male,Primary,100
2013,Male,Lower Secondary,100
2013,Male,Upper Secondary,60
2014,Total,Primary,100
2014,Total,Lower Secondary,100
2014,Total,Upper Secondary,69
2014,Female,Primary,100
2014,Female,Lower Secondary,100
2014,Female,Upper Secondary,76
2014,Male,Primary,100
2014,Male,Lower Secondary,100
2014,Male,Upper Secondary,61
2015,Total,Primary,100
2015,Total,Lower Secondary,100
2015,Total,Upper Secondary,71
2015,Female,Primary,100
2015,Female,Lower Secondary,100
2015,Female,Upper Secondary,77
2015,Male,Primary,100
2015,Male,Lower Secondary,100
2015,Male,Upper Secondary,62
2016,Total,Primary,100
2016,Total,Lower Secondary,100
2016,Total,Upper Secondary,72
2016,Female,Primary,100
2016,Female,Lower Secondary,100
2016,Female,Upper Secondary,79
2016,Male,Primary,100
2016,Male,Lower Secondary,100
2016,Male,Upper Secondary,63
2017,Total,Primary,100
2017,Total,Lower Secondary,100
2017,Total,Upper Secondary,73
2017,Female,Primary,100
2017,Female,Lower Secondary,100
2017,Female,Upper Secondary,80
2017,Male,Primary,100
2017,Male,Lower Secondary,100
2017,Male,Upper Secondary,64
2018,Total,Primary,100
2018,Total,Lower Secondary,100
2018,Total,Upper Secondary,75
2018,Female,Primary,100
2018,Female,Lower Secondary,100
2018,Female,Upper Secondary,81
2018,Male,Primary,100
2018,Male,Lower Secondary,100
2018,Male,Upper Secondary,65
