Disaggregation,Number of indicators,Number of values
Activity,2,7
Age Group,2,3
Age,12,24
Area,1,4
Body Mass Index,1,4
Citizenship,2,4
Education level,3,5
Education Level,1,3
Food waste sector,1,4
Funding Channels,1,3
IHR Capacity,1,15
Level of Difficulty,1,3
Level of digital skills,1,6
Location,3,3
Migratory Status,1,5
Mobile Network,1,4
Outcome of processed applications,1,4
Particulate Matter Type,1,2
Policy Domains,1,7
Poverty Status,1,3
Sex,30,8
Skill,1,3
Source,1,8
Technology,2,5
Type of Occupation,1,4
Type of product,1,2
Type of Product,2,36
Type of Skill,1,2
Type of waste treatment,1,13
