Year,Sex,Value
2011,Male and Female,99.4
2011,Female,98.7
2011,Male,100.0
2012,Male and Female,98.7
2012,Female,97.3
2012,Male,100.0
2013,Male and Female,99.8
2013,Female,99.7
2013,Male,100.0
2014,Male and Female,98.9
2014,Female,97.8
2014,Male,100.0
2015,Male and Female,98.8
2015,Female,100.0
2015,Male,97.8
2016,Male and Female,99.3
2016,Female,100.0
2016,Male,98.6
2017,Male and Female,99.8
2017,Female,100.0
2017,Male,99.7
2018,Male and Female,98.7
2018,Female,97.3
2018,Male,100.0
2019,Male and Female,97.5
2019,Female,94.8
2019,Male,100.0
2020,Male and Female,98.6
2020,Female,100.0
2020,Male,97.3
